Date,Value
2016-12-31,574600.0
2016-11-30,580500.0
2016-10-31,587400.0
2016-09-30,596600.0
2016-08-31,600800.0
2016-07-31,603200.0
2016-06-30,610000.0
2016-05-31,622500.0
2016-04-30,633800.0
2016-02-29,652100.0
2016-01-31,647800.0
2015-12-31,645800.0
2015-11-30,649900.0
2015-08-31,475500.0
2015-07-31,476000.0
2015-06-30,473800.0
2015-05-31,471100.0
2015-04-30,469600.0
2015-03-31,465400.0
2015-02-28,461100.0
2015-01-31,459800.0
2014-12-31,459400.0
2014-11-30,455500.0
2014-10-31,452000.0
2014-09-30,447300.0
2014-08-31,442000.0
2014-07-31,437000.0
2014-06-30,433200.0
2014-05-31,427200.0
2014-04-30,423400.0
2014-03-31,425500.0
2014-02-28,424700.0
2014-01-31,415100.0
2013-12-31,405000.0
2013-11-30,400400.0
2013-10-31,398500.0
2013-09-30,396900.0
2013-08-31,395600.0
2013-07-31,391500.0
2013-06-30,384200.0
2013-05-31,377000.0
2013-04-30,372900.0
2013-03-31,368500.0
2013-02-28,364900.0
2013-01-31,358600.0
2012-12-31,349900.0
2012-11-30,343500.0
2012-10-31,339800.0
2012-09-30,341100.0
2012-08-31,343300.0
2012-07-31,340200.0
2012-06-30,335500.0
2012-05-31,337400.0
2012-04-30,336200.0
2012-03-31,331100.0
2012-02-29,328800.0
2012-01-31,326400.0
2011-12-31,321200.0
2011-11-30,324100.0
2011-10-31,331500.0
2011-09-30,333400.0
2011-08-31,332500.0
2011-07-31,331900.0
2011-06-30,329500.0
2011-05-31,328900.0
2011-04-30,328700.0
2011-03-31,330300.0
2011-02-28,331100.0
2011-01-31,332800.0
2010-12-31,337600.0
2010-11-30,338200.0
2010-10-31,331300.0
2010-09-30,328900.0
2010-08-31,329200.0
2010-07-31,331300.0
2010-06-30,333100.0
2010-05-31,331600.0
2010-04-30,328900.0
2010-03-31,329500.0
2010-02-28,326600.0
2010-01-31,329300.0
2009-12-31,338900.0
2009-11-30,344500.0
2009-10-31,343500.0
2009-09-30,343400.0
2009-08-31,345300.0
2009-07-31,345700.0
2009-06-30,343500.0
2009-05-31,339300.0
2009-04-30,335800.0
2009-03-31,330500.0
2009-02-28,325700.0
2009-01-31,320600.0
2008-12-31,314400.0
2008-11-30,309000.0
2008-10-31,305600.0
2008-09-30,301600.0
2008-08-31,297400.0
2008-07-31,294300.0
2008-06-30,292800.0
2008-05-31,292000.0
2008-04-30,293600.0
2008-03-31,297700.0
2008-02-29,304100.0
2008-01-31,309400.0
2007-12-31,310300.0
2007-11-30,307400.0
2007-10-31,305100.0
2007-09-30,303200.0
2007-08-31,302400.0
2007-07-31,303500.0
2007-06-30,304800.0
2007-05-31,305300.0
2007-04-30,305100.0
2007-03-31,303600.0
2007-02-28,301300.0
2007-01-31,298800.0
2006-12-31,296600.0
2006-11-30,295500.0
2006-10-31,296000.0
2006-09-30,295200.0
2006-08-31,292400.0
2006-07-31,290100.0
2006-06-30,290500.0
2006-05-31,290300.0
2006-04-30,287100.0
2006-03-31,284000.0
2006-02-28,283400.0
2006-01-31,282900.0
2005-12-31,282100.0
2005-11-30,283000.0
2005-10-31,285000.0
2005-09-30,286300.0
2005-08-31,286100.0
2005-07-31,283600.0
2005-06-30,281000.0
2005-05-31,279800.0
2005-04-30,280100.0
2005-03-31,278800.0
2005-02-28,276200.0
2005-01-31,274500.0
2004-12-31,274600.0
2004-11-30,274100.0
2004-10-31,272200.0
2004-09-30,269700.0
2004-08-31,267100.0
2004-07-31,264400.0
2004-06-30,260600.0
2004-05-31,257600.0
2004-04-30,255700.0
2004-03-31,253700.0
2004-02-29,250100.0
2004-01-31,245400.0
2003-12-31,240800.0
2003-11-30,238200.0
2003-10-31,237900.0
2003-09-30,237600.0
2003-08-31,237300.0
2003-07-31,237400.0
2003-06-30,237300.0
2003-05-31,236700.0
2003-04-30,236700.0
2003-03-31,238000.0
2003-02-28,238500.0
2003-01-31,238100.0
2002-12-31,238200.0
2002-11-30,237800.0
2002-10-31,236300.0
2002-09-30,236100.0
2002-08-31,237400.0
2002-07-31,239000.0
2002-06-30,240200.0
2002-05-31,240200.0
2002-04-30,238900.0
2002-03-31,237100.0
2002-02-28,235500.0
2002-01-31,234100.0
2001-12-31,232700.0
2001-11-30,232000.0
2001-10-31,231000.0
2001-09-30,229500.0
2001-08-31,228400.0
2001-07-31,227100.0
2001-06-30,226100.0
2001-05-31,226400.0
2001-04-30,227200.0
2001-03-31,228000.0
2001-02-28,230300.0
2001-01-31,233200.0
2000-12-31,234600.0
2000-11-30,234000.0
2000-10-31,231900.0
2000-09-30,228800.0
2000-08-31,225100.0
2000-07-31,222900.0
2000-06-30,222900.0
2000-05-31,223000.0
2000-04-30,222200.0
2000-03-31,222100.0
2000-02-29,224100.0
2000-01-31,226100.0
1999-12-31,226400.0
1999-11-30,225600.0
1999-10-31,224900.0
1999-09-30,225100.0
1999-08-31,224900.0
1999-07-31,224900.0
1999-06-30,226700.0
1999-05-31,228500.0
